action_id,source,related_id,owner,action,impact,priority_score
ACT-001,Workflow priority queue,AWM-026,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,155.7
ACT-002,Workflow priority queue,AWM-011,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,118.9
ACT-003,Workflow priority queue,AWM-004,Data Analytics,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,106.6
ACT-004,Workflow priority queue,AWM-025,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,105.7
ACT-005,Workflow priority queue,AWM-020,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,97.9
ACT-006,Workflow priority queue,AWM-040,Data Analytics,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,91.2
ACT-007,Workflow priority queue,AWM-041,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,87.8
ACT-008,Workflow priority queue,AWM-002,Reporting Enablement,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,84.8
ACT-009,Workflow priority queue,AWM-022,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,84.8
ACT-010,Workflow priority queue,AWM-014,Reporting Enablement,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,83.9
ACT-011,Workflow priority queue,AWM-019,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,78.9
ACT-012,Workflow priority queue,AWM-010,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,77.2
ACT-013,Workflow priority queue,AWM-021,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,74.6
ACT-014,Workflow priority queue,AWM-030,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,70.0
ACT-015,Workflow priority queue,AWM-005,Reporting Enablement,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,69.7
ACT-016,Workflow priority queue,AWM-009,Technology,Escalate source control and refresh owner,Reduce exception exposure and improve operating review trust,66.6
ACT-017,Production issue triage,INC-084,Technology,War room and source fix,Restore report reliability for affected stakeholders,102.8
ACT-018,Production issue triage,INC-081,Data Analytics,War room and source fix,Restore report reliability for affected stakeholders,94.4
ACT-019,Production issue triage,INC-061,Technology,War room and source fix,Restore report reliability for affected stakeholders,92.2
ACT-020,Production issue triage,INC-017,Client Ops,War room and source fix,Restore report reliability for affected stakeholders,89.4
ACT-021,Production issue triage,INC-006,Controls,War room and source fix,Restore report reliability for affected stakeholders,82.9
ACT-022,Production issue triage,INC-063,Controls,War room and source fix,Restore report reliability for affected stakeholders,82.9
ACT-023,Production issue triage,INC-028,Data Analytics,War room and source fix,Restore report reliability for affected stakeholders,79.1
ACT-024,Production issue triage,INC-039,Controls,War room and source fix,Restore report reliability for affected stakeholders,78.8
ACT-025,Production issue triage,INC-002,Controls,War room and source fix,Restore report reliability for affected stakeholders,75.5
ACT-026,Production issue triage,INC-014,Data Analytics,War room and source fix,Restore report reliability for affected stakeholders,74.6
ACT-027,Production issue triage,INC-040,Data Analytics,War room and source fix,Restore report reliability for affected stakeholders,72.4
ACT-028,Production issue triage,INC-007,Technology,War room and source fix,Restore report reliability for affected stakeholders,72.1
ACT-029,Automation queue,AUTO-030,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,115.2
ACT-030,Automation queue,AUTO-019,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,106.2
ACT-031,Automation queue,AUTO-033,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,105.9
ACT-032,Automation queue,AUTO-028,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,105.0
ACT-033,Automation queue,AUTO-041,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,101.6
ACT-034,Automation queue,AUTO-024,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,101.5
ACT-035,Automation queue,AUTO-022,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,100.9
ACT-036,Automation queue,AUTO-004,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,100.2
ACT-037,Automation queue,AUTO-015,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,96.1
ACT-038,Automation queue,AUTO-017,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,93.8
ACT-039,Automation queue,AUTO-025,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,92.8
ACT-040,Automation queue,AUTO-035,Data Analytics,Pilot automation,Remove manual reporting effort and reduce recurring defects,92.3
